1,true,Unit testing
1,true,Integration testing
1,false,Economic testing
1,false,Regex testing
2,true,boolean
2,true,Boolean
2,false,Number
2,false,Character
3,true,@Component
3,false,@Service
4,true,org.springframework.jdbc.core.JdbcTemplate
4,false,org.springframework.jdbc.JdbcTemplate
5,true,void
5,false,null
6,false,initiate.sh
6,true,start.sh
7,false,80
7,true,8080
8,false,Class field
8,true,Method
9,true,true
9,false,false
10,true,true
10,false,false
11,true,true
11,false,false
12,true,true
12,false,false
13,true,true
13,false,false
14,true,true
14,false,false
15,true,true
15,false,false
16,true,true
16,false,false
17,true,true
17,false,false
18,true,true
18,false,false
19,true,true
19,false,false
20,true,true
20,false,false
21,true,true
21,false,false
22,true,true
22,false,false
23,true,true
23,false,false
24,true,true
24,false,false
25,true,true
25,false,false
26,true,true
26,false,false
27,true,true
27,false,false
28,true,true
28,false,false
