1,1Unit testing,true
1,1Integration testing,true
1,1Economic testing,false
1,1Regex testing,false
2,2boolean,true
2,2Boolean,true
2,2Number,false
2,2Character,false
3,3Unit testing,true
3,3Economic testing,false
4,4Boolean,true
4,4Number,false
5,5Unit testing,true
5,5Economic testing,false
6,6Boolean,true
6,6Number,false
7,7Unit testing,true
7,7Economic testing,false
8,8Boolean,true
8,8Number,false
9,9Unit testing,true
9,9Economic testing,false
10,10Boolean,true
10,10Number,false
11,11Unit testing,true
11,11Economic testing,false
12,12Boolean,true
12,12Number,false
13,13Unit testing,true
13,13Economic testing,false
14,14Boolean,true
14,14Number,false
15,15Unit testing,true
15,15Economic testing,false
16,16Boolean,true
16,16Number,false
